"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2021";"26000 - Ministério da Educação";"26449 - Universidade Federal do Cariri";"158719 - UNIVERSIDADE FEDERAL DO CARIRI";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"63.605.245,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"150014 - SUBSECRETARIA DE PLANEJ. E ORCAMENTO SPO(MEC)";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"573.297.755,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26267 - Universidade Federal da Integração Latino-Americana";"158658 - UNIV. FEDERAL DA INTEGRACAO-LATINO-AMERICANA";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"92.642.927,00";"0,00";"0,00%";"0,00";
"2021";"47000 - Ministério do Planejamento e Orçamento";"61201 - Instituto de Pesquisa Econômica Aplicada";"113601 - INSTITUTO DE PESQUISA ECONOMICA APLICADA";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"160.071.903,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"158127 - INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210311 - INDENIZACAO POR SINISTRO-PRINCIPAL";"0,00";"34.799,00";"0,00%";"0,00";
"2021";"20000 - Presidência da República";"20101 - Presidência da República";"110005 - SECRETARIA DE ADMINISTRACAO-SET.ORC.E FIN./PR";"1 - Receitas Correntes";"13 - Receita Patrimonial";"134 - Exploração de recursos naturais";"13410421 - P.ESP.PETRO.PLAT-COM.ANT.3/12/12-P.SAL-PRINC.";"5.290.632.570,00";"0,00";"0,00%";"0,00";
"2021";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"195006 - CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220611 - REST.DESPESAS EXERC.ANT.FIN.FTE.PRIM.-PRINC.";"0,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26240 - Universidade Federal da Paraíba";"153065 - UNIVERSIDADE FEDERAL DA PARAIBA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19219911 - OUTRAS INDENIZACOES-PRINCIPAL";"0,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"158150 - INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13100111 - ALUGUEIS E ARRENDAMENTOS-PRINCIPAL";"5.908,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26234 - Universidade Federal do Espírito Santo";"153046 - UNIVERSIDADE FEDERAL DO ESPIRITO SANTO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210111 - INDENIZ.P/DANOS CAUSADOS AO PATR.PUB.-PRINC.";"0,00";"440.257,64";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26404 - Instituto Federal Baiano";"158129 - INST FED DE EDUC CIENC E TECNOLOGIA BAIANO";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13100211 - CONC/PERM/AUT/CESSAO DIR.USO IMOV.PUB-PRINC.";"3.481,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26238 - Universidade Federal de Minas Gerais";"153062 - UNIVERSIDADE FEDERAL DE MINAS GERAIS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19909912 - OUTRAS RECEITAS-PRIMARIAS-MULTAS E JUROS";"1.043,00";"0,00";"0,00%";"0,00";
"2021";"39000 - Ministério dos Transportes";"39000 - Ministério dos Transportes - Unidades com vínculo direto";"390002 - SUBSECRETARIA DE PLAN.,ORCAM.E ADMIN.SETORIAL";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"1.007.624.467,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"154215 - FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.";"0,00";"42,36";"0,00%";"0,00";
