"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"12 - Educação";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"134.434,76";
"01/2023";"12 - Educação";"847 - Transferências para a educação básica";"38.241.574.565,10";"1.912.078.728,25";"1.912.078.728,25";"4.875.965.593,92";
"01/2023";"08 - Assistência social";"126 - Tecnologia da informação";"0,00";"0,00";"0,00";"3.169.998,00";
"01/2023";"19 - Ciência e Tecnologia";"846 - Outros encargos especiais";"193.337.302,02";"14.154.494,30";"14.104.047,83";"0,00";
"01/2023";"16 - Habitação";"451 - infra-estrutura urbana";"0,00";"0,00";"0,00";"40.616,00";
"01/2023";"04 - Administração";"608 - Promoção da produção agropecuária";"0,00";"0,00";"0,00";"0,00";
"01/2023";"08 - Assistência social";"242 - Assistência ao portador de deficiência";"46.466.725.460,00";"3.838.161.284,36";"1.889.760.912,83";"1.845.422.565,93";
"01/2023";"08 - Assistência social";"244 - Assistência comunitária";"13.325.031.511,40";"13.252.580.000,00";"13.252.580.000,00";"65.150.679,81";
"01/2023";"19 - Ciência e Tecnologia";"212 - Cooperação internacional";"0,00";"0,00";"0,00";"214.549,67";
"01/2023";"08 - Assistência social";"125 - Normatização e fiscalização";"5.598.221,31";"6.387,15";"4.994,24";"217.090,96";
"01/2023";"23 - Comércio e serviços";"693 - Comércio exterior";"3.254.160.000,00";"160.709.418,76";"155.354.709,38";"33.104.254,18";
"01/2023";"08 - Assistência social";"241 - Assistência ao idoso";"37.854.720.073,00";"3.124.118.406,00";"1.533.112.211,85";"1.520.802.751,92";
"01/2023";"19 - Ciência e Tecnologia";"571 - Desenvolvimento científico";"5.567.827,31";"4.914.307,09";"4.889.730,43";"21.367.052,07";
"01/2023";"02 - Judiciária";"122 - Administração geral";"78.330,22";"0,00";"0,00";"246.018,69";
"01/2023";"09 - Previdência social";"271 - Previdência básica";"368.971.202.604,36";"63.600.672.941,71";"13.757.237.894,70";"47.958.906.183,77";
"01/2023";"04 - Administração";"573 - Difusão do conhecimento científico e tecnológico";"242,98";"242,96";"242,96";"420.074,73";
"01/2023";"09 - Previdência social";"122 - Administração geral";"683.513.814,06";"215.456.059,75";"52.530.700,20";"264.578.467,22";
"01/2023";"04 - Administração";"128 - Formação de recursos humanos";"15.243,20";"0,00";"0,00";"608.289,25";
"01/2023";"15 - Urbanismo";"453 - Transportes coletivos urbanos";"3.936.613,14";"3.078.975,29";"341.259,10";"7.193.491,59";
"01/2023";"11 - Trabalho";"126 - Tecnologia da informação";"28.214.474,10";"0,00";"0,00";"14.344.004,96";
"01/2023";"19 - Ciência e Tecnologia";"691 - Promoção comercial";"0,00";"0,00";"0,00";"0,00";
"01/2023";"20 - Agricultura";"607 - Irrigação";"23.067.716,25";"19.262.429,81";"1.278.867,69";"7.319.673,32";
"01/2023";"20 - Agricultura";"608 - Promoção da produção agropecuária";"6.101.496.164,28";"16.676.737,24";"16.647.830,16";"1.218.297.768,18";
"01/2023";"12 - Educação";"694 - Serviços financeiros";"4.711.334.604,00";"339.256.747,37";"339.212.777,64";"80.014.536,63";
"01/2023";"12 - Educação";"123 - Administração financeira";"4.000.000,00";"0,00";"0,00";"43.708.738,94";
"01/2023";"04 - Administração";"131 - Comunicação social";"0,00";"0,00";"0,00";"198.128,85";
"01/2023";"11 - Trabalho";"122 - Administração geral";"500.441.027,04";"176.395.502,66";"50.148.947,29";"168.584.068,40";
"01/2023";"17 - Saneamento";"512 - Saneamento básico urbano";"0,00";"0,00";"0,00";"28.779.088,66";
"01/2023";"15 - Urbanismo";"451 - infra-estrutura urbana";"0,00";"0,00";"0,00";"64.277.924,99";
"01/2023";"18 - Gestão ambiental";"544 - Recursos hídricos";"11.592.225,84";"1.290.633,80";"1.259.687,78";"79.198.123,98";
"01/2023";"15 - Urbanismo";"244 - Assistência comunitária";"0,00";"0,00";"0,00";"104.533.407,47";
"01/2023";"26 - Transporte";"125 - Normatização e fiscalização";"36.569.089,48";"1.136.729,21";"624.523,99";"9.652.405,05";
"01/2023";"06 - Segurança pública";"182 - Defesa civil";"73.036.497,70";"23.074.633,48";"19.522.606,53";"22.571.070,72";
