"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"11/2023";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"- 8.532,77";"2.330.095,82";"2.477.965,71";"0,00";
"11/2023";"09 - Previdência social";"124 - Controle interno";"- 193.818,32";"533.650,65";"525.878,79";"0,00";
"11/2023";"28 - Encargos especiais";"847 - Transferências para a educação básica";"0,00";"7.609.065.169,97";"7.609.065.169,97";"0,00";
"11/2023";"09 - Previdência social";"665 - Normalização e qualidade";"0,00";"0,00";"0,00";"0,00";
"11/2023";"09 - Previdência social";"301 - Atenção básica";"0,00";"0,00";"0,00";"13.810,57";
"11/2023";"24 - Comunicações";"422 - Direitos individuais, coletivos e difusos";"- 3.145.552,86";"916.983,10";"906.988,26";"0,00";
"11/2023";"24 - Comunicações";"125 - Normatização e fiscalização";"2.922.397,82";"2.992.018,67";"3.021.779,57";"12.515.529,01";
"11/2023";"24 - Comunicações";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"11/2023";"01 - Legislativa";"031 - Ação legislativa";"3.443,50";"3.443,50";"0,00";"0,00";
"11/2023";"25 - Energia";"846 - Outros encargos especiais";"0,00";"8.646.571,60";"8.470.431,92";"0,00";
"11/2023";"25 - Energia";"125 - Normatização e fiscalização";"4.033.879,39";"6.614.044,25";"8.606.915,94";"393.463,70";
"11/2023";"28 - Encargos especiais";"841 - Refinanciamento da dívida interna";"2.140.000.000,00";"4.039.702.579,69";"4.039.702.579,69";"0,00";
"11/2023";"28 - Encargos especiais";"843 - Serviço da dívida interna";"30.102.804.445,40";"30.143.303.396,38";"30.141.819.019,58";"0,00";
"11/2023";"21 - Organização agrária";"846 - Outros encargos especiais";"0,00";"12.408.723,06";"12.408.723,06";"0,00";
"11/2023";"21 - Organização agrária";"422 - Direitos individuais, coletivos e difusos";"1.331,61";"56.962,43";"61.928,51";"0,00";
"11/2023";"08 - Assistência social";"243 - Assistência à criança e ao adolescente";"32.632.941,47";"639.372,38";"639.372,38";"0,00";
"11/2023";"08 - Assistência social";"511 - Saneamento básico rural";"0,00";"2.302.442,88";"0,00";"125.095,10";
"11/2023";"08 - Assistência social";"306 - Alimentação e nutrição";"139.663.373,62";"109.305.359,39";"98.922.362,07";"35.376.725,69";
"11/2023";"08 - Assistência social";"122 - Administração geral";"32.855.670,60";"10.026.901,05";"15.419.187,90";"0,00";
"11/2023";"27 - Desporto e lazer";"811 - Desporto de rendimento";"6.009.198,27";"20.460.294,67";"20.145.161,60";"465.133,54";
"11/2023";"27 - Desporto e lazer";"812 - Desporto comunitário";"74.611.127,56";"73.184.305,41";"67.451.296,31";"37.915.955,27";
"11/2023";"04 - Administração";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"11/2023";"03 - Essencial à justiça";"846 - Outros encargos especiais";"- 920.601,00";"52.247.208,82";"52.247.208,82";"0,00";
"11/2023";"03 - Essencial à justiça";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"11/2023";"03 - Essencial à justiça";"331 - Proteção e benefícios ao trabalhador";"- 2.436.420,00";"8.916.114,52";"8.777.779,56";"0,00";
"11/2023";"03 - Essencial à justiça";"122 - Administração geral";"120.000,00";"179.164,68";"178.899,82";"0,00";
"11/2023";"03 - Essencial à justiça";"092 - Representação judicial e extrajudicial";"- 3.989.082,36";"38.983.585,16";"38.340.092,76";"423.574,16";
"11/2023";"25 - Energia";"751 - Conservação de energia";"679.136,82";"1.556.255,59";"2.328.609,26";"17.128,90";
"11/2023";"19 - Ciência e Tecnologia";"301 - Atenção básica";"0,00";"0,00";"0,00";"1.799,87";
"11/2023";"24 - Comunicações";"846 - Outros encargos especiais";"173.540,00";"8.472.250,92";"8.472.250,92";"0,00";
"11/2023";"24 - Comunicações";"331 - Proteção e benefícios ao trabalhador";"1.664.886,73";"2.442.483,67";"2.041.380,83";"0,00";
"11/2023";"24 - Comunicações";"126 - Tecnologia da informação";"16.020.895,19";"6.294.573,21";"4.506.073,21";"1.052.507,08";
"11/2023";"24 - Comunicações";"131 - Comunicação social";"0,00";"0,00";"0,00";"14.693.300,84";
"11/2023";"05 - Defesa nacional";"363 - Ensino profissional";"12.574.570,88";"4.768.307,01";"6.404.586,28";"194.112,37";
"11/2023";"11 - Trabalho";"128 - Formação de recursos humanos";"0,00";"1.004,83";"1.004,83";"0,00";
"11/2023";"09 - Previdência social";"845 - Outras transferências";"258.827.322,78";"216.251.659,31";"142.650.449,56";"19.412,28";
"11/2023";"11 - Trabalho";"125 - Normatização e fiscalização";"600.050,35";"2.835.925,53";"2.883.163,85";"147.115,81";
"11/2023";"04 - Administração";"391 - Patrimônio histórico, artístico e arqueológico";"2.409.458,43";"2.857.078,22";"2.929.551,94";"0,00";
"11/2023";"04 - Administração";"183 - Informação e inteligência";"3.936.298,40";"8.043.864,03";"10.041.405,28";"2.616,01";
"11/2023";"04 - Administração";"123 - Administração financeira";"279.466,42";"476.654,86";"489.994,75";"60.286,28";
"11/2023";"22 - Indústria";"846 - Outros encargos especiais";"10.402.714,40";"17.604.215,65";"17.568.894,67";"0,00";
"11/2023";"22 - Indústria";"664 - Propriedade industrial";"1.791.793,06";"707.840,97";"712.611,85";"0,00";
"11/2023";"05 - Defesa nacional";"571 - Desenvolvimento científico";"- 47.337.096,87";"927.753,37";"176.712,90";"12.045,73";
"11/2023";"04 - Administração";"422 - Direitos individuais, coletivos e difusos";"2.109.209,00";"246.500,64";"244.009,31";"0,00";
"11/2023";"06 - Segurança pública";"421 - Custódia e reintegração social";"71.739.293,66";"11.419.734,59";"11.389.693,92";"4.731.231,87";
"11/2023";"04 - Administração";"571 - Desenvolvimento científico";"0,00";"1.766.766,91";"890.307,07";"0,00";
"11/2023";"05 - Defesa nacional";"302 - Assistência hospitalar e ambulatorial";"6.349.390,86";"4.823.150,51";"4.290.212,42";"8.840,76";
"11/2023";"23 - Comércio e serviços";"695 - Turismo";"114.222.359,79";"367.511.823,52";"367.511.823,52";"40.746.055,42";
"11/2023";"23 - Comércio e serviços";"122 - Administração geral";"- 61.500,00";"- 50.515,30";"- 50.515,30";"0,00";
"11/2023";"15 - Urbanismo";"301 - Atenção básica";"0,00";"0,00";"0,00";"37.079,85";
"11/2023";"15 - Urbanismo";"128 - Formação de recursos humanos";"247.935,17";"164.758,06";"223.063,72";"11.339,58";
"11/2023";"15 - Urbanismo";"131 - Comunicação social";"- 45.000,00";"36.000,00";"13.200,00";"609,60";
"11/2023";"26 - Transporte";"130 - Administração de concessões";"- 103.098,42";"77.736,43";"77.736,43";"0,00";
"11/2023";"11 - Trabalho";"846 - Outros encargos especiais";"32.259.983,29";"63.376.310,25";"63.369.770,25";"0,00";
"11/2023";"11 - Trabalho";"332 - Relações de trabalho";"0,00";"3.090,70";"3.090,70";"0,00";
"11/2023";"11 - Trabalho";"571 - Desenvolvimento científico";"15.623.685,48";"968.090,81";"931.308,14";"65.183,03";
"11/2023";"11 - Trabalho";"333 - Empregabilidade";"- 8.357.763,65";"7.002.382,20";"7.506.476,15";"1.260,50";
"11/2023";"11 - Trabalho";"334 - Fomento ao trabalho";"1.812.921.684,86";"1.810.527.613,28";"1.810.435.742,17";"8.426,54";
"11/2023";"11 - Trabalho";"126 - Tecnologia da informação";"- 12.186.352,68";"23.451.892,49";"27.748.091,07";"951.403,76";
"11/2023";"14 - Direitos da cidadania";"241 - Assistência ao idoso";"0,00";"0,00";"0,00";"146.095,00";
"11/2023";"04 - Administração";"364 - Ensino superior";"140.032,48";"66.859,79";"68.629,78";"0,00";
"11/2023";"04 - Administração";"121 - Planejamento e orçamento";"10.266.211,28";"16.334.987,20";"26.971.718,86";"2.296.280,16";
"11/2023";"14 - Direitos da cidadania";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"11/2023";"14 - Direitos da cidadania";"331 - Proteção e benefícios ao trabalhador";"1.869.911,68";"1.608.766,31";"1.599.082,35";"0,00";
"11/2023";"26 - Transporte";"452 - Serviços urbanos";"85.000,00";"811.629,99";"811.629,99";"0,00";
"11/2023";"12 - Educação";"367 - Educação especial";"4.912.424,33";"2.423.384,80";"2.310.507,57";"141.992,92";
"11/2023";"03 - Essencial à justiça";"062 - Defesa do interesse público no processo judiciário";"48.770,33";"138.282,52";"137.558,80";"0,00";
"11/2023";"19 - Ciência e Tecnologia";"131 - Comunicação social";"0,00";"8.807,40";"8.807,40";"0,00";
"11/2023";"19 - Ciência e Tecnologia";"121 - Planejamento e orçamento";"0,00";"0,00";"0,00";"16.290,00";
"11/2023";"19 - Ciência e Tecnologia";"542 - Controle ambiental";"1.713.430,00";"334.449,03";"319.431,83";"52.650,00";
"11/2023";"19 - Ciência e Tecnologia";"126 - Tecnologia da informação";"0,00";"0,00";"0,00";"1.100.000,00";
"11/2023";"04 - Administração";"211 - Relações diplomáticas";"535,99";"535,99";"535,99";"0,00";
"11/2023";"06 - Segurança pública";"244 - Assistência comunitária";"100.000,00";"0,00";"0,00";"0,00";
"11/2023";"06 - Segurança pública";"131 - Comunicação social";"50.000,00";"0,00";"0,00";"0,00";
"11/2023";"06 - Segurança pública";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"11/2023";"24 - Comunicações";"122 - Administração geral";"30.116.953,27";"75.687.470,11";"59.544.636,61";"858.159,52";
"11/2023";"14 - Direitos da cidadania";"846 - Outros encargos especiais";"7.281.706,11";"12.464.531,79";"12.464.531,79";"0,00";
"11/2023";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"2.014.653,06";"43.715,33";"21.500,46";"11.278,38";
"11/2023";"14 - Direitos da cidadania";"125 - Normatização e fiscalização";"13.905.307,93";"10.736.431,47";"10.312.191,22";"19.718,53";
"11/2023";"04 - Administração";"722 - Telecomunicações";"40.597.469,75";"7.053.144,78";"8.946.452,05";"0,00";
"11/2023";"25 - Energia";"752 - Energia elétrica";"700.168,01";"4.206.037,01";"4.206.767,93";"6.300,00";
"11/2023";"25 - Energia";"754 - Biocombustíveis";"20.280,74";"0,00";"0,00";"0,00";
"11/2023";"11 - Trabalho";"331 - Proteção e benefícios ao trabalhador";"3.523.266.761,02";"3.531.188.771,29";"3.531.224.293,32";"1.853.170,00";
"11/2023";"15 - Urbanismo";"121 - Planejamento e orçamento";"0,00";"0,00";"0,00";"0,00";
"11/2023";"25 - Energia";"331 - Proteção e benefícios ao trabalhador";"- 97.899,81";"2.454.251,89";"2.438.562,95";"0,00";
"11/2023";"15 - Urbanismo";"846 - Outros encargos especiais";"0,00";"788.843,74";"1.026.442,94";"0,00";
"11/2023";"25 - Energia";"121 - Planejamento e orçamento";"396.484,16";"192.027,98";"181.017,78";"0,00";
"11/2023";"25 - Energia";"753 - Combustíveis";"224.713,34";"248.862,50";"3.612,50";"0,00";
"11/2023";"04 - Administração";"126 - Tecnologia da informação";"- 2.985.115,96";"150.031.418,11";"149.724.056,37";"3.926.621,84";
"11/2023";"02 - Judiciária";"061 - Ação judiciária";"406.924,76";"339.147,20";"385.502,82";"5.227,27";
"11/2023";"18 - Gestão ambiental";"573 - Difusão do conhecimento científico e tecnológico";"2.109.782,20";"22.214,76";"23.517,72";"0,00";
"11/2023";"15 - Urbanismo";"331 - Proteção e benefícios ao trabalhador";"3.960.246,30";"8.056.037,91";"8.069.445,47";"0,00";
"11/2023";"15 - Urbanismo";"122 - Administração geral";"59.279.986,63";"72.908.357,93";"55.841.784,22";"3.252,84";
"11/2023";"25 - Energia";"122 - Administração geral";"23.330.145,32";"78.851.745,02";"63.425.960,04";"136.548,70";
"11/2023";"21 - Organização agrária";"122 - Administração geral";"3.291.278,38";"169.433.290,22";"111.332.691,39";"2.856.325,96";
"11/2023";"25 - Energia";"128 - Formação de recursos humanos";"222.140,43";"468.418,78";"432.929,19";"0,00";
"11/2023";"21 - Organização agrária";"331 - Proteção e benefícios ao trabalhador";"4.598.346,29";"12.769.587,35";"13.759.205,50";"0,00";
"11/2023";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"12.166,45";"330.927,14";"397.390,02";"246.028,57";
"11/2023";"20 - Agricultura";"211 - Relações diplomáticas";"2.016,46";"2.016,46";"2.016,46";"0,00";
"11/2023";"18 - Gestão ambiental";"512 - Saneamento básico urbano";"993.363,07";"413.232,81";"63.232,81";"0,00";
"11/2023";"21 - Organização agrária";"363 - Ensino profissional";"300.480,58";"484.439,22";"491.039,22";"239.742,81";
"11/2023";"20 - Agricultura";"541 - Preservação e conservação ambiental";"- 300.000,29";"0,00";"68.904,72";"2.017.295,53";
"11/2023";"20 - Agricultura";"846 - Outros encargos especiais";"454.083,44";"30.900.329,63";"31.013.740,33";"0,00";
"11/2023";"20 - Agricultura";"606 - Extensão rural";"16.476,17";"4.915,90";"4.915,90";"4.282.810,09";
"11/2023";"18 - Gestão ambiental";"125 - Normatização e fiscalização";"24.654.964,60";"29.937.604,93";"30.100.929,92";"558.846,19";
"11/2023";"20 - Agricultura";"127 - Ordenamento territorial";"0,00";"0,00";"0,00";"0,00";
"11/2023";"20 - Agricultura";"545 - Meteorologia";"467.869,41";"2.240.555,01";"2.197.240,80";"38,85";
"11/2023";"20 - Agricultura";"363 - Ensino profissional";"0,00";"0,00";"0,00";"7.200,00";
"11/2023";"20 - Agricultura";"691 - Promoção comercial";"3.479.147,47";"2.649.115,98";"2.754.098,08";"- 1.928,84";
"11/2023";"20 - Agricultura";"609 - Defesa agropecuária";"8.854.456,92";"7.670.926,17";"6.057.016,19";"1.361.257,33";
"11/2023";"20 - Agricultura";"125 - Normatização e fiscalização";"22.943.209,19";"12.396.910,06";"12.210.640,41";"878.269,04";
"11/2023";"26 - Transporte";"131 - Comunicação social";"493.020,00";"142.438,04";"142.438,04";"0,00";
"11/2023";"21 - Organização agrária";"631 - Reforma agrária";"4.471.567,73";"56.567.628,79";"56.547.388,72";"2.491.215,51";
"11/2023";"19 - Ciência e Tecnologia";"573 - Difusão do conhecimento científico e tecnológico";"5.764.281,06";"6.039.929,26";"5.182.156,59";"420.330,48";
"11/2023";"19 - Ciência e Tecnologia";"541 - Preservação e conservação ambiental";"- 130.100,03";"59.230,29";"23.248,29";"0,00";
"11/2023";"12 - Educação";"812 - Desporto comunitário";"0,00";"0,00";"0,00";"0,00";
"11/2023";"19 - Ciência e Tecnologia";"128 - Formação de recursos humanos";"110.013,12";"467.698,71";"466.907,63";"0,00";
"11/2023";"12 - Educação";"366 - Educação de jovens e adultos";"14.065.126,26";"4.569.085,09";"2.160.791,40";"215.965,84";
"11/2023";"19 - Ciência e Tecnologia";"662 - Produção industrial";"638.608,77";"20.744.895,02";"14.423.525,32";"554.601,34";
"11/2023";"12 - Educação";"306 - Alimentação e nutrição";"3.616.066,56";"558.278.632,67";"558.491.425,43";"1.057.319,83";
"11/2023";"12 - Educação";"847 - Transferências para a educação básica";"768.808.916,28";"3.111.046.377,66";"3.111.046.377,66";"12.198.647,80";
"11/2023";"12 - Educação";"365 - Educação infantil";"209.314.498,43";"61.478.894,41";"61.360.455,60";"2.470.617,82";
"11/2023";"19 - Ciência e Tecnologia";"125 - Normatização e fiscalização";"14.966.057,52";"3.895.451,66";"3.727.042,87";"0,00";
"11/2023";"19 - Ciência e Tecnologia";"846 - Outros encargos especiais";"270.000,00";"29.310.824,12";"29.261.059,38";"0,00";
"11/2023";"12 - Educação";"301 - Atenção básica";"0,00";"0,00";"0,00";"55.277,43";
"11/2023";"22 - Indústria";"693 - Comércio exterior";"0,00";"0,00";"0,00";"19.125,44";
"11/2023";"08 - Assistência social";"242 - Assistência ao portador de deficiência";"- 20.300.173,80";"4.344.580.344,00";"4.312.953.212,23";"0,00";
"11/2023";"19 - Ciência e Tecnologia";"212 - Cooperação internacional";"1.334.301,14";"765.381,20";"765.381,20";"8.968,66";
"11/2023";"08 - Assistência social";"241 - Assistência ao idoso";"299.967,60";"3.436.107.526,78";"3.414.655.342,87";"0,00";
"11/2023";"08 - Assistência social";"125 - Normatização e fiscalização";"23.400,00";"383.969,64";"378.042,26";"110,18";
"11/2023";"08 - Assistência social";"126 - Tecnologia da informação";"0,00";"3.022.868,02";"3.022.868,02";"0,00";
"11/2023";"08 - Assistência social";"244 - Assistência comunitária";"- 1.353.589.696,44";"14.481.083.063,75";"14.475.377.103,68";"43.097.409,69";
"11/2023";"19 - Ciência e Tecnologia";"571 - Desenvolvimento científico";"475.481.113,61";"600.712.094,45";"434.901.966,04";"13.504.784,33";
"11/2023";"12 - Educação";"131 - Comunicação social";"11.422.321,01";"153.756,75";"278.503,19";"37.081,80";
"11/2023";"09 - Previdência social";"271 - Previdência básica";"1.925.688.734,31";"67.569.778.647,77";"66.381.629.276,24";"672.301,67";
"11/2023";"24 - Comunicações";"722 - Telecomunicações";"847.867.737,25";"44.371.612,23";"35.208.532,00";"2.296.287,45";
"11/2023";"09 - Previdência social";"122 - Administração geral";"416.700.743,83";"359.291.078,50";"263.461.937,84";"558.129,59";
"11/2023";"04 - Administração";"573 - Difusão do conhecimento científico e tecnológico";"585.256,76";"552.059,49";"441.299,82";"15.000,00";
"11/2023";"04 - Administração";"128 - Formação de recursos humanos";"6.106.783,30";"1.088.848,44";"1.051.410,91";"43.248,15";
"11/2023";"02 - Judiciária";"122 - Administração geral";"115.509,73";"585.587,49";"191.140,17";"6.656,27";
"11/2023";"15 - Urbanismo";"665 - Normalização e qualidade";"0,00";"0,00";"0,00";"35.266,00";
"11/2023";"11 - Trabalho";"122 - Administração geral";"251.483.405,31";"267.592.229,92";"178.707.036,74";"52.655,54";
"11/2023";"26 - Transporte";"127 - Ordenamento territorial";"0,00";"0,00";"0,00";"32.700,00";
"11/2023";"04 - Administração";"131 - Comunicação social";"75.097.510,10";"44.698.352,15";"31.492.529,09";"8.640,00";
"11/2023";"17 - Saneamento";"512 - Saneamento básico urbano";"5.273.229,36";"8.511.855,28";"8.319.059,73";"14.346.632,59";
"11/2023";"22 - Indústria";"333 - Empregabilidade";"0,00";"0,00";"0,00";"0,00";
"11/2023";"12 - Educação";"694 - Serviços financeiros";"937.728.369,00";"388.362.299,52";"387.592.992,31";"19.550,82";
"11/2023";"12 - Educação";"123 - Administração financeira";"0,00";"37.557.372,04";"37.557.372,04";"0,00";
"11/2023";"20 - Agricultura";"607 - Irrigação";"- 2.834.547,59";"5.318.551,24";"4.325.895,93";"6.804.183,12";
"11/2023";"04 - Administração";"127 - Ordenamento territorial";"9.742.283,18";"3.897.118,81";"3.928.421,63";"198.340,94";
"11/2023";"15 - Urbanismo";"127 - Ordenamento territorial";"0,00";"0,00";"0,00";"65.000,00";
"11/2023";"15 - Urbanismo";"453 - Transportes coletivos urbanos";"8.799.830,93";"24.551.769,82";"26.348.426,49";"71.368.799,07";
"11/2023";"19 - Ciência e Tecnologia";"691 - Promoção comercial";"0,00";"2.100,00";"2.100,00";"1.763.001,85";
"11/2023";"26 - Transporte";"125 - Normatização e fiscalização";"2.824.402,70";"17.537.660,47";"16.669.594,30";"124.093,12";
"11/2023";"20 - Agricultura";"608 - Promoção da produção agropecuária";"876.182.772,99";"752.732.755,32";"823.994.918,26";"112.331.762,18";
"11/2023";"15 - Urbanismo";"244 - Assistência comunitária";"0,00";"0,00";"0,00";"256.448.191,16";
"11/2023";"15 - Urbanismo";"451 - infra-estrutura urbana";"658.081.319,09";"415.553,79";"752.074,41";"220.182.278,73";
"11/2023";"18 - Gestão ambiental";"544 - Recursos hídricos";"60.445.750,28";"245.310.052,53";"251.145.003,13";"53.339.756,89";
"11/2023";"06 - Segurança pública";"182 - Defesa civil";"220.154.312,25";"165.669.975,21";"155.434.041,49";"29.228.941,20";
"11/2023";"13 - Cultura";"846 - Outros encargos especiais";"2.775.041,00";"5.757.892,60";"5.757.602,60";"0,00";
"11/2023";"16 - Habitação";"482 - Habitação urbana";"20.698.681,00";"0,00";"0,00";"424.931,26";
"11/2023";"16 - Habitação";"451 - infra-estrutura urbana";"0,00";"0,00";"0,00";"342.169,71";
"11/2023";"13 - Cultura";"128 - Formação de recursos humanos";"90.360,90";"219.226,17";"265.054,40";"0,00";
"11/2023";"13 - Cultura";"331 - Proteção e benefícios ao trabalhador";"1.242.438,51";"2.932.422,60";"2.887.404,97";"0,00";
"11/2023";"28 - Encargos especiais";"844 - Serviço da dívida externa";"1.231.024.061,33";"1.195.174.085,33";"1.195.174.085,33";"0,00";
"11/2023";"25 - Energia";"572 - Desenvolvimento tecnológico e engenharia";"4.484.655,38";"9.578.778,24";"11.281.852,80";"72.503,42";
"11/2023";"04 - Administração";"124 - Controle interno";"3.477.173,16";"12.406.413,08";"12.338.746,64";"322.212,91";
"11/2023";"12 - Educação";"573 - Difusão do conhecimento científico e tecnológico";"89.382.477,50";"45.952.626,26";"45.998.472,41";"- 966.691,50";
"11/2023";"01 - Legislativa";"032 - Controle externo";"- 7.998,73";"31.300,99";"31.300,99";"0,00";
"11/2023";"05 - Defesa nacional";"152 - Defesa naval";"139.275.184,02";"232.524.252,89";"216.277.858,23";"18.340.955,45";
"11/2023";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"161.043.540,15";"161.043.540,15";"0,00";
"11/2023";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"7.182.365,86";"244.585,24";"546.791,91";"0,00";
"11/2023";"26 - Transporte";"846 - Outros encargos especiais";"5.000.000,00";"32.335.430,87";"32.326.661,37";"0,00";
"11/2023";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"10.140.372,94";"3.976.439,52";"4.490.986,27";"82.212,76";
"11/2023";"04 - Administração";"846 - Outros encargos especiais";"68.193.009,40";"313.197.875,07";"300.582.283,67";"0,00";
"11/2023";"10 - Saúde";"512 - Saneamento básico urbano";"100.171.291,49";"0,00";"0,00";"305.000,28";
"11/2023";"28 - Encargos especiais";"845 - Outras transferências";"25.918.740.552,35";"48.871.214.968,02";"48.622.968.055,55";"89.561.008,40";
"11/2023";"10 - Saúde";"131 - Comunicação social";"4.455.597,35";"18.785.796,56";"17.365.636,78";"7.866,49";
"11/2023";"10 - Saúde";"126 - Tecnologia da informação";"74.280.934,53";"20.284.535,59";"15.417.228,79";"16.673,48";
"11/2023";"10 - Saúde";"306 - Alimentação e nutrição";"16.740,00";"16.740,00";"16.740,00";"216.930,00";
"11/2023";"10 - Saúde";"124 - Controle interno";"7.489.130,43";"16.955,59";"13.972,56";"0,00";
"11/2023";"10 - Saúde";"121 - Planejamento e orçamento";"4.200.000,00";"2.049.381,07";"7.363.230,93";"2.554,34";
"11/2023";"10 - Saúde";"304 - Vigilância sanitária";"2.912.253,78";"24.975.567,30";"25.197.871,90";"29.158,42";
"11/2023";"14 - Direitos da cidadania";"422 - Direitos individuais, coletivos e difusos";"105.009.578,42";"28.113.056,19";"25.245.116,90";"7.465.335,63";
"11/2023";"04 - Administração";"331 - Proteção e benefícios ao trabalhador";"54.182.225,70";"88.858.227,23";"87.043.352,73";"0,00";
"11/2023";"10 - Saúde";"125 - Normatização e fiscalização";"2.662.908,67";"1.770.280,93";"1.806.270,96";"11.868,47";
"11/2023";"10 - Saúde";"511 - Saneamento básico rural";"54.925.790,12";"4.960.167,76";"7.384.662,39";"4.278.462,15";
"11/2023";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"248.640.510,00";"4.735.179,24";"4.883.150,77";"3.484.423,39";
"11/2023";"14 - Direitos da cidadania";"122 - Administração geral";"39.243.420,63";"46.137.796,94";"37.024.776,09";"377.926,08";
"11/2023";"10 - Saúde";"423 - Assistência aos povos indígenas";"65.209.180,13";"254.885.078,42";"279.387.656,40";"1.702.865,34";
"11/2023";"10 - Saúde";"305 - Vigilância epidemiológica";"252.728.160,48";"1.001.006.638,28";"965.219.300,58";"24.558.690,65";
"11/2023";"10 - Saúde";"571 - Desenvolvimento científico";"214.673.133,99";"131.765.025,87";"95.058.818,89";"21.118.788,43";
"11/2023";"10 - Saúde";"301 - Atenção básica";"2.853.620.341,84";"3.600.465.646,17";"3.590.688.734,39";"64.668.576,00";
"11/2023";"04 - Administração";"122 - Administração geral";"646.404.683,47";"2.378.183.615,53";"1.794.112.538,36";"27.426.396,34";
"11/2023";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.286.430.337,82";"1.829.483.090,91";"1.850.912.003,99";"36.687.253,17";
"11/2023";"21 - Organização agrária";"127 - Ordenamento territorial";"- 1.314.815,66";"3.651.089,71";"3.497.225,69";"886.930,66";
"11/2023";"05 - Defesa nacional";"303 - Suporte profilático e terapêutico";"0,00";"13.052,00";"0,00";"0,00";
"11/2023";"05 - Defesa nacional";"366 - Educação de jovens e adultos";"- 1.500,00";"127.813,78";"127.298,78";"252,08";
"11/2023";"26 - Transporte";"126 - Tecnologia da informação";"22.326.750,14";"19.449.810,78";"22.113.373,70";"971.564,01";
"11/2023";"26 - Transporte";"331 - Proteção e benefícios ao trabalhador";"2.572.401,33";"8.347.831,10";"7.827.923,27";"0,00";
"11/2023";"26 - Transporte";"783 - Transporte ferroviário";"- 38.628.524,94";"16.337.523,94";"6.014.484,44";"2.059.191,00";
"11/2023";"12 - Educação";"368 - Educação básica";"3.111.101.043,05";"1.234.507.053,94";"1.244.838.234,92";"174.133.717,54";
"11/2023";"05 - Defesa nacional";"811 - Desporto de rendimento";"- 41.057,61";"386.497,80";"364.487,34";"23.389,82";
"11/2023";"05 - Defesa nacional";"121 - Planejamento e orçamento";"379.012,69";"38.945,33";"132.830,60";"- 13,27";
"11/2023";"26 - Transporte";"784 - Transporte hidroviário";"133.818.662,83";"275.339.816,21";"274.845.824,91";"5.018.060,47";
"11/2023";"05 - Defesa nacional";"572 - Desenvolvimento tecnológico e engenharia";"- 7.868.379,21";"60.824.662,96";"37.293.616,40";"24.056.295,05";
"11/2023";"05 - Defesa nacional";"482 - Habitação urbana";"- 14.363.930,52";"27.638.160,80";"28.861.376,91";"3.164.788,36";
"11/2023";"05 - Defesa nacional";"722 - Telecomunicações";"13.513.836,14";"4.120.929,51";"424.909,58";"2.596.726,41";
"11/2023";"26 - Transporte";"121 - Planejamento e orçamento";"41.791.842,58";"16.249.444,25";"11.248.413,72";"4.997.007,39";
"11/2023";"05 - Defesa nacional";"542 - Controle ambiental";"3.769.039,57";"5.564.835,97";"5.485.189,16";"802.930,70";
"11/2023";"05 - Defesa nacional";"573 - Difusão do conhecimento científico e tecnológico";"99.939,51";"159.549,93";"183.614,00";"17.921,00";
"11/2023";"05 - Defesa nacional";"333 - Empregabilidade";"57.686,11";"737.677,71";"675.245,49";"10.567,75";
"11/2023";"05 - Defesa nacional";"212 - Cooperação internacional";"1.169.946,42";"2.437.874,59";"2.537.798,99";"182.026,13";
"11/2023";"26 - Transporte";"122 - Administração geral";"95.202.181,92";"219.543.580,73";"174.686.923,56";"2.578.348,91";
"11/2023";"05 - Defesa nacional";"125 - Normatização e fiscalização";"51.628.687,21";"19.219.094,73";"20.995.732,89";"994.619,44";
"11/2023";"05 - Defesa nacional";"812 - Desporto comunitário";"603.348,39";"257.940,60";"223.161,95";"0,00";
"11/2023";"26 - Transporte";"782 - Transporte rodoviário";"1.518.115.101,97";"1.193.477.747,60";"1.046.095.482,98";"110.947.155,53";
"11/2023";"05 - Defesa nacional";"423 - Assistência aos povos indígenas";"16.102.617,63";"20.284.457,39";"19.884.181,41";"0,00";
"11/2023";"05 - Defesa nacional";"151 - Defesa aérea";"384.628.385,24";"366.991.367,72";"348.944.767,03";"43.817.932,18";
"11/2023";"22 - Indústria";"571 - Desenvolvimento científico";"1.691.735,00";"233.370,00";"233.370,00";"0,00";
"11/2023";"22 - Indústria";"301 - Atenção básica";"0,00";"0,00";"0,00";"2.905,00";
