"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"3004 - AVIACAO CIVIL";"15V2 - REFORMA E REAPARELHAMENTO DO AEROPORTO CIVIL DE ALCANTARA/MA";"0,00";"0,00";"0,00";
"01/2023";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0999 - TRANSFERENCIA DE REPARTICAO DA CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE COMBUSTIVEIS";"165.671.092,00";"0,00";"0,00";
"01/2023";"5021 - GESTAO E ORGANIZACAO DO SUS";"4339 - QUALIFICACAO DA REGULACAO E FISCALIZACAO DA SAUDE SUPLEMENTAR";"298.473,23";"11.882,57";"11.781,57";
"01/2023";"0905 - OPERACOES ESPECIAIS: SERVICO DA DIVIDA INTERNA (JUROS EAMORTIZACOES)";"0455 - SERVICOS DA DIVIDA PUBLICA FEDERAL INTERNA";"26.060.241.594,44";"4.939.894.934,76";"4.939.894.934,76";
"01/2023";"5026 - ESPORTE";"20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL";"0,00";"0,00";"0,00";
"01/2023";"2068 - SANEAMENTO BASICO";"6908 - FOMENTO A EDUCACAO EM SAUDE AMBIENTAL VOLTADA A PROMOCAO DA SAUDE";"0,00";"0,00";"0,00";
"01/2023";"0151 - PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E ETNODESENVOLVIMENTO";"1ABD - PROGRAMA DE DESENVOLVIMENTO COM. INDIGENA SARARE";"0,00";"0,00";"0,00";
"01/2023";"2213 - MODERNIZACAO TRABALHISTA E TRABALHO DIGNO";"20YW - PRODUCAO E DIFUSAO DE CONHECIMENTOS TECNICO-CIENTIFICOS QUE CONTRIBUAM PARA A PROMOCAO DA SEGURANCA E SAUDE DOS TRABALHADORES E TRABALHADORAS E QUE SUBSIDIEM POLITICAS PUBLICAS NO CAMPO DO TRABALHO DIGNO";"141.585,54";"29.718,27";"15.784,94";
"01/2023";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"212H - MANUTENCAO DE CONTRATO DE GESTAO COM ORGANIZACOES SOCIAIS (LEI N. 9.637, DE 15 DE MAIO DE 1998)";"0,00";"0,00";"0,00";
"01/2023";"0909 - OPERACOES ESPECIAIS: OUTROS ENCARGOS ESPECIAIS";"00SV - COBERTURA DE DESPESAS DE ADMINISTRACAO E DE DESPESAS OPERACIONAIS DO FUNDO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO (LEI N. 11.540, DE 12 DE NOVEMBRO DE 2007, E DECRETO N. 6.938, DE 13 DE AGOSTO DE 2009)";"4.813.111,00";"4.813.111,00";"4.813.111,00";
"01/2023";"2027 - CULTURA: DIMENSAO ESSENCIAL DO DESENVOLVIMENTO";"14U2 - IMPLANTACAO, INSTALACAO E AMPLIACAO DE ESPACOS E EQUIPAMENTOS CULTURAIS";"0,00";"0,00";"0,00";
"01/2023";"5020 - DESENVOLVIMENTO CIENTIFICO, TECNOLOGICO E PRODUTIVO EM SAUDE";"20K2 - FOMENTO A PESQUISA E AO DESENVOLVIMENTO TECNOLOGICO, COM VISTAS AO APRIMORAMENTO E A SUSTENTABILIDADE DOS SERVICOS E ACOES DE SAUDE AMBIENTAL";"0,00";"0,00";"0,00";
"01/2023";"2068 - SANEAMENTO BASICO";"7656 - IMPLANTACAO, AMPLIACAO OU MELHORIA DE ACOES E SERVICOS SUSTENTAVEIS DE SANEAMENTO BASICO EM PEQUENAS COMUNIDADES RURAIS (LOCALIDADES DE PEQUENO PORTE) OU EM COMUNIDADES TRADICIONAIS (REMANESCENTES DE QUILOMBOS)";"0,00";"0,00";"0,00";
"01/2023";"5021 - GESTAO E ORGANIZACAO DO SUS";"8727 - APERFEICOAMENTO DO SISTEMA DE INFORMACAO PARA SAUDE SUPLEMENTAR";"655.861,18";"28.088,22";"0,00";
"01/2023";"1031 - AGROPECUARIA SUSTENTAVEL";"099F - CONCESSAO DE SUBVENCAO ECONOMICA AO PREMIO DO SEGURO RURAL (LEI N. 10.823, DE 2003)";"0,00";"0,00";"0,00";
"01/2023";"3006 - TRANSPORTE TERRESTRE E TRANSITO";"7W07 - ADEQUACAO DE TRECHO RODOVIARIO - CASTANHAL - SANTA MARIA DO PARA - TREVO DE SALINOPOLIS - DIVISA PA/MA - NA BR-316/PA";"0,00";"0,00";"0,00";
"01/2023";"1031 - AGROPECUARIA SUSTENTAVEL";"0294 - SUBVENCAO ECONOMICA NAS OPERACOES DE CUSTEIO AGROPECUARIO (LEI N. 8.427, DE 1992)";"1.795.227.154,46";"0,00";"0,00";
"01/2023";"0909 - OPERACOES ESPECIAIS: OUTROS ENCARGOS ESPECIAIS";"0E64 - SUBVENCAO ECONOMICA DESTINADA A HABITACAO DE INTERESSE SOCIAL EM CIDADES COM MENOS DE 50.000 HABITANTES (LEI N. 14.118, DE 2021)";"0,00";"0,00";"0,00";
